timestamp,waypoint_num,target_x,target_y,target_yaw_deg,actual_x,actual_y,actual_yaw_deg,distance_error_m,heading_error_deg,nav_completed,result
2024-07-21 07:55:48,1,4.28136,-0.0384401,2.77573,4.26265,0.0201372,2.15815,0.0614924,0.61758,YES,PASS
2024-07-21 07:56:47,1,4.17572,0.0274266,4.87421,4.15026,0.0927282,2.41842,0.070088,2.45578,YES,PASS
2024-07-21 07:58:26,1,4.25718,0.0703857,0.169252,4.25763,0.140906,0.287522,0.0705217,0.11827,YES,PASS
2024-07-21 07:59:14,1,4.17573,0.10574,-0.108431,4.11099,0.167204,4.60393,0.0892642,4.71236,YES,PASS
2024-07-21 08:03:08,1,4.40845,0.026996,-0.989237,4.4606,0.0794252,-0.246416,0.0739461,0.742821,YES,FAIL
2024-07-21 08:05:12,1,5.97438,0.0444705,-0.675947,5.95266,0.0863657,-5.61056,0.0471896,4.93461,YES,PASS
2024-07-21 08:06:47,1,3.93407,0.0284751,1.02681,3.94185,0.0872725,5.79888,0.0593097,4.77206,YES,PASS
2024-07-21 08:08:02,1,3.8943,0.0323539,0.0369393,3.95715,-0.0176949,-2.35519,0.0803437,2.39213,YES,PASS
2024-07-21 08:09:19,1,3.96853,0.0245897,1.60265,3.96362,0.0604814,2.99941,0.0362261,1.39676,YES,PASS
2024-07-21 08:14:32,1,4.04301,0.0416994,0.809464,4.03299,-0.0410367,-1.73637,0.0833404,2.54584,YES,PASS
2024-07-21 08:15:52,1,3.88357,-0.0454406,1.11622,3.91044,0.0113689,2.10056,0.0628437,0.984344,YES,PASS
2024-07-21 08:17:47,1,4.15952,-0.0508864,-0.0457912,4.21233,0.0173465,-1.41181,0.0862801,1.36601,YES,PASS
